tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)	dev_stage	tissue_type	geographic location (latitude)	geographic location (longitude)	geographic location (region and locality)	collected_by	identified by
3864	Lens culinaris	PGULL-1725.1	La Fortaleza, Silo 2, seed 1	Archaeological seed dated 1024 - 1155 cal CE from La Fortaleza, Gran Canaria, genome sequence	2017	Spain	Non-germinated	Seed	27.881489	-15.527281	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1725.2	La Fortaleza, Silo 2, seed 2	Archaeological seed dated 1024 - 1155 cal CE from La Fortaleza, Gran Canaria, genome sequence	2017	Spain	Non-germinated	Seed	27.881489	-15.527281	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1725.3	La Fortaleza, Silo 2, seed 3	Archaeological seed dated 1024 - 1155 cal CE from La Fortaleza, Gran Canaria, genome sequence	2017	Spain	Non-germinated	Seed	27.881489	-15.527281	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1725.4	La Fortaleza, Silo 2, seed 4	Archaeological seed dated 1024 - 1155 cal CE from La Fortaleza, Gran Canaria, genome sequence	2017	Spain	Non-germinated	Seed	27.881489	-15.527281	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1726.1	Acusa, El Alamo, Silo 10, seed 1	Archaeological seed dated 1682 - 1955 cal CE from Acusa, Gran Canaria, genome sequence	2010	Spain	Non-germinated	Seed	28.005	-15.680697	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1726.2	Acusa, El Alamo, Silo 10, seed 2	Archaeological seed dated 1682 - 1955 cal CE from Acusa, Gran Canaria, genome sequence	2010	Spain	Non-germinated	Seed	28.005	-15.680697	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1727.1	Cuevas Muchas, Silo 1	Archaeological seed dated 1456 - 1634 cal CE from Cuevas Muchas, Gran Canaria, genome sequence	2011	Spain	Non-germinated	Seed	27.938272	-15.490197	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1728.1	Acusa, Cruz de la Esquina, Silo 9, seed 1	Archaeological seed dated 1300 - 1624 cal CE from Acusa, Gran Canaria, genome sequence	2019	Spain	Non-germinated	Seed	28.003297	-15.682722	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1728.2	Acusa, Cruz de la Esquina, Silo 9, seed 2	Archaeological seed dated 1300 - 1624 cal CE from Acusa, Gran Canaria, genome sequence	2019	Spain	Non-germinated	Seed	28.003297	-15.682722	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1729.1	Acusa, Cruz de la Esquina, Cueva funeraria, seed 1	Archaeological seed dated 664 - 770 cal CE from Acusa, Gran Canaria, genome sequence	2019	Spain	Non-germinated	Seed	28.003297	-15.682722	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1729.2	Acusa, Cruz de la Esquina, Cueva funeraria, seed 2	Archaeological seed dated 664 - 770 cal CE from Acusa, Gran Canaria, genome sequence	2019	Spain	Non-germinated	Seed	28.003297	-15.682722	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1730.1	Temisas, Silo 10	Archaeological seed dated 1326 - 1444 cal CE from Temisas, Gran Canaria, genome sequence	2011	Spain	Non-germinated	Seed	27.906739	-15.498486	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1731.1	Temisas, Silo 1	Archaeological seed dated 1290 - 1410 cal CE from Temisas, Gran Canaria, genome sequence	2011	Spain	Non-germinated	Seed	27.906739	-15.498486	Gran Canaria	Jacob Morales	Jacob Morales
3864	Lens culinaris	PGULL-1732.1	Temisas, Silo 18	Archaeological seed dated 1219 - 1280 cal CE from Temisas, Gran Canaria, genome sequence	2011	Spain	Non-germinated	Seed	27.906739	-15.498486	Gran Canaria	Jacob Morales	Jacob Morales