study	sample	design_description	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_101	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_101_S302_L008_R1_001.fastq.gz	17328f34e169943181c429695e9b68f4	/P33769_101_S302_L008_R2_001.fastq.gz	7064136ab2ad61447e912e0f3cf7300a									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_102	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_102_S303_L008_R1_001.fastq.gz	0f922c43c9994061e41418c89f5b5440	/P33769_102_S303_L008_R2_001.fastq.gz	2cce998c3c7ec0f05a864d188800ffbe									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_103	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_103_S304_L008_R1_001.fastq.gz	bf7122ccfd8eb54f3ae04b2bc364c93a	/P33769_103_S304_L008_R2_001.fastq.gz	3a518e39f12f1c718adc0aff0e754353									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_104	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_104_S305_L008_R1_001.fastq.gz	1aaa2923717cba8d1e13391961e117da	/P33769_104_S305_L008_R2_001.fastq.gz	88fb29eb49cdbc31dc3921944a0f9d8b									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_106	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_106_S306_L008_R1_001.fastq.gz	dc3b6e13bdb71fa578d010bc59b6c5d0	/P33769_106_S306_L008_R2_001.fastq.gz	5c9d55e91d1a060f39411f9602fbe4f0									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_107	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_107_S307_L008_R1_001.fastq.gz	0df67b4010d50a89b0394d0ec846321c	/P33769_107_S307_L008_R2_001.fastq.gz	f0b1836b67603ca1caac90716de897be									
PRJEB107427	OX	Tissue-specific expression analysis and annotation of corresponding genome	P33769_108	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_108_S308_L008_R1_001.fastq.gz	33c14f264e738697cdf45a2edb6506d5	/P33769_108_S308_L008_R2_001.fastq.gz	a8da0c84f738571dde50ee0911b58ecb									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_109	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_109_S309_L008_R1_001.fastq.gz	163f2c9d24ebc476e27839a5286cf971	/P33769_109_S309_L008_R2_001.fastq.gz	e5d93dfcb4a6c8d67558225b83890141									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_110	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_110_S310_L008_R1_001.fastq.gz	e38c04e755260c0d00245d1036a0bc0d	/P33769_110_S310_L008_R2_001.fastq.gz	94d1b28c6a9ad096954a1664beb724ca									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_111	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_111_S311_L008_R1_001.fastq.gz	e86d89f38161ced284cd5b3d108e096a	/P33769_111_S311_L008_R2_001.fastq.gz	49d369ca75b3bc7ff2aaae2ee4be3d23									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_112	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_112_S312_L008_R1_001.fastq.gz	46228935a7639fed292a309b0b03b2db	/P33769_112_S312_L008_R2_001.fastq.gz	84145bc2d14ad449979efd08cee1a0f5									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_113	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_113_S313_L008_R1_001.fastq.gz	8c51550f6232bc3669e4c900b5dac2d6	/P33769_113_S313_L008_R2_001.fastq.gz	d4625ce80b1ee00d9a9ff4019e3882cf									
PRJEB107427	JN2	Tissue-specific expression analysis and annotation of corresponding genome	P33769_114	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	PAIRED	150	Illumina TruSeq Stranded mRNA (polyA)	ILLUMINA	Illumina NovaSeq X	/P33769_114_S314_L008_R1_001.fastq.gz	50eb414fe2ac135dc22e2741282eec2f	/P33769_114_S314_L008_R2_001.fastq.gz	a943d1d90a25dc77e9666b8c14815b20									